,Topic,time,text_language,job_type,external_url,phone_contact,delta_salary
2451,5.0,2018,en,C Manufacturing,yes,yes,-11.13
2452,5.0,2018,en,G Wholesale and retail trade,yes,yes,-7.32
2453,5.0,2018,en,"A Agriculture, forestry and fishing",yes,yes,25.36
2454,6.0,2018,en,"A Agriculture, forestry and fishing",yes,yes,25.36
2455,6.0,2018,en,"A Agriculture, forestry and fishing",yes,yes,-3.8200000000000003
2456,6.0,2018,en,H Transportation and storage,yes,yes,-9.96
2457,5.0,2018,en,G Wholesale and retail trade,yes,yes,-8.190000000000001
2458,6.0,2018,en,C Manufacturing,yes,yes,-10.850000000000001
2459,3.0,2018,en,"A Agriculture, forestry and fishing",yes,yes,-3.9700000000000006
2460,5.0,2018,en,G Wholesale and retail trade,yes,yes,-7.9300000000000015
2461,5.0,2018,en,C Manufacturing,yes,yes,18.2
2462,5.0,2018,en,C Manufacturing,yes,yes,-13.57
2463,6.0,2018,en,C Manufacturing,yes,yes,-13.15
2464,5.0,2018,en,None,yes,yes,10.51
2465,5.0,2018,en,"A Agriculture, forestry and fishing",yes,yes,-3.630000000000001
2466,5.0,2018,en,C Manufacturing,yes,yes,-13.09
2467,5.0,2018,en,"A Agriculture, forestry and fishing",yes,yes,-6.59
2468,5.0,2018,en,I Accommodation and food serving,yes,yes,-3.3100000000000005
2469,5.0,2018,en,C Manufacturing,no,yes,-12.450000000000001
2470,5.0,2017,en,C Manufacturing,yes,yes,-3.2300000000000004
2471,5.0,2017,en,H Transportation and storage,yes,yes,-11.29
2472,6.0,2017,en,"A Agriculture, forestry and fishing",yes,yes,16.82
2473,4.0,2017,nl,H Transportation and storage,yes,yes,-8.7
2474,1.0,2017,nl,S Other service activities,yes,yes,-9.850000000000001
2475,7.0,2016,nl,C Manufacturing,yes,yes,-11.969999999999999
2476,6.0,2016,nl,C Manufacturing,yes,yes,19.17
2477,6.0,2016,nl,C Manufacturing,yes,yes,-12.049999999999999
2478,6.0,2016,pl,None,yes,yes,33.0
2479,6.0,2016,pl,C Manufacturing,yes,yes,-11.869999999999997
2480,6.0,2016,nl,C Manufacturing,yes,yes,-11.129999999999999
2481,5.0,2016,nl,H Transportation and storage,yes,yes,-8.969999999999999
2482,5.0,2021,ro,None,yes,yes,53.0
2483,5.0,2021,ro,G Wholesale and retail trade,yes,yes,33.129999999999995
2484,5.0,2021,ro,G Wholesale and retail trade,yes,yes,33.129999999999995
2485,5.0,2021,ro,M Other specialised business services,yes,yes,23.04
2486,5.0,2021,ro,G Wholesale and retail trade,yes,yes,33.129999999999995
2487,5.0,2021,ro,M Other specialised business services,yes,yes,23.04
2488,5.0,2021,ro,G Wholesale and retail trade,yes,yes,15.129999999999999
2489,5.0,2021,ro,G Wholesale and retail trade,yes,yes,24.13
